GEO_ID,NAME,B14006_003E
1,"Allegany County, Maryland",2211
3,"Anne Arundel County, Maryland",10263
5,"Baltimore County, Maryland",23917
9,"Calvert County, Maryland",2050
13,"Carroll County, Maryland",1769
15,"Cecil County, Maryland",1867
17,"Charles County, Maryland",3464
21,"Frederick County, Maryland",3800
25,"Harford County, Maryland",5448
27,"Howard County, Maryland",4231
31,"Montgomery County, Maryland",21245
33,"Prince George's County, Maryland",29262
37,"St. Mary's County, Maryland",2484
43,"Washington County, Maryland",5874
45,"Wicomico County, Maryland",9111
510,"Baltimore city, Maryland",36759
