"GEO_ID","NAME","B14006_001E","B14006_001M","B14006_002E","B14006_002M","B14006_003E","B14006_003M","B14006_004E","B14006_004M","B14006_005E","B14006_005M","B14006_006E","B14006_006M","B14006_007E","B14006_007M","B14006_008E","B14006_008M","B14006_009E","B14006_009M","B14006_010E","B14006_010M","B14006_011E","B14006_011M","B14006_012E","B14006_012M","B14006_013E","B14006_013M","B14006_014E","B14006_014M","B14006_015E","B14006_015M","B14006_016E","B14006_016M","B14006_017E","B14006_017M","B14006_018E","B14006_018M","B14006_019E","B14006_019M","B14006_020E","B14006_020M","B14006_021E","B14006_021M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below the poverty level","Margin of Error!!Total!!Income in the past 12 months below the poverty level","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months below the poverty level!!Not enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in kindergarten","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 1 to grade 4","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 5 to grade 8","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in grade 9 to grade 12","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in college undergraduate years","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in graduate or professional school","Estimate!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school","Margin of Error!!Total!!Income in the past 12 months at or above the poverty level!!Not enrolled in school"
"0500000US24047","Worcester County, Maryland","49504","242","4542","506","1233","241","83","53","151","84","210","88","212","81","278","112","268","122","31","34","3309","368","44962","510","8547","369","547","182","352","126","1884","251","1852","258","1958","175","1543","235","411","109","36415","446"
"0500000US24510","Baltimore city, Maryland","569304","1400","122270","3639","40625","2061","2889","419","2512","358","9416","823","7728","820","7681","695","6469","777","3930","482","81645","2399","447034","3607","98729","2229","7804","535","5568","586","17579","938","18192","1017","17976","702","18616","1012","12994","853","348305","2644"
"0500000US24041","Talbot County, Maryland","35684","243","3376","517","1075","292","182","113","64","49","189","77","188","75","222","86","218","124","12","19","2301","381","32308","580","6237","373","421","123","283","111","1274","181","1398","183","1515","217","898","157","448","132","26071","512"
"0500000US24025","Harford County, Maryland","240441","434","17862","1381","5468","727","435","162","227","96","1188","323","1142","289","1241","241","1140","252","95","59","12394","841","222579","1402","55863","1224","3523","349","2690","315","10744","584","11007","580","12644","361","11909","802","3346","366","166716","1373"
"0500000US24027","Howard County, Maryland","302590","644","16331","1702","6500","902","256","113","191","107","1225","300","978","274","1330","305","1911","374","609","214","9831","1015","286259","1687","83426","1417","5982","518","3573","391","15873","761","17367","713","17772","643","16261","805","6598","578","202833","1354"
"0500000US24003","Anne Arundel County, Maryland","530593","1149","31509","2493","9787","1180","687","200","493","162","1931","404","1890","380","2520","427","2060","414","206","116","21722","1601","499084","2521","127851","2030","9370","791","6247","547","24671","980","26826","1007","25540","716","25551","1124","9646","886","371233","2270"
"0500000US24005","Baltimore County, Maryland","778792","1503","71362","3377","23894","1814","1195","277","941","273","4763","688","3842","554","4478","516","7414","872","1261","280","47468","2023","707430","3388","169550","2376","11795","753","8513","723","34159","1101","33849","1121","34431","704","34290","1415","12513","670","537880","2711"
"0500000US24009","Calvert County, Maryland","87631","275","4355","703","1029","343","41","50","16","22","161","97","135","90","426","195","238","110","12","20","3326","498","83276","785","22489","621","1175","209","909","182","4037","361","5357","354","5538","364","4373","517","1100","252","60787","708"
"0500000US24023","Garrett County, Maryland","27995","191","2693","375","540","137","32","25","19","21","176","60","118","55","102","55","93","61","0","22","2153","300","25302","448","5133","297","295","93","362","112","999","143","1103","153","1212","146","816","142","346","134","20169","419"
