GEO_ID,NAME,POV ENROLLED,ABOVE ENROLLED,TOTAL ENROLLED
1,"Allegany County, Maryland",2211,10645,12856
2,"Anne Arundel County, Maryland",10263,127041,137304
3,"Baltimore County, Maryland",23917,172001,195918
5,"Calvert County, Maryland",2050,19488,21538
7,"Carroll County, Maryland",1769,37965,39734
8,"Cecil County, Maryland",1867,21233,23100
9,"Charles County, Maryland",3464,40258,43722
11,"Frederick County, Maryland",3800,60283,64083
13,"Harford County, Maryland",5448,59214,64662
14,"Howard County, Maryland",4231,81001,85232
16,"Montgomery County, Maryland",21245,241757,263002
17,"Prince George's County, Maryland",29262,187403,216665
20,"St. Mary's County, Maryland",2484,24936,27420
22,"Washington County, Maryland",5874,25495,31369
23,"Wicomico County, Maryland",9111,18789,27900
4,"Baltimore city, Maryland",36759,90543,127302
6,Caroline,1382,5966,7348
10,Dorchester,1627,4928,6555
12,Garrett,540,5133,5673
15,Kent,684,2458,3142
18,Queen Anne's,709,10414,11123
19,Somerset,1769,3042,4811
21,Talbolt,1075,6237,7312
24,Worcester,1233,8547,9780
