Province or territory,Provincial or territorial area (square kilometres),Total area conserved (square kilometres),Percentage of province or territory conserved
British Columbia,944735,144852,15.3
Alberta,661848,100110,15.1
Northwest Territories,1346106,169999,12.6
Nova Scotia,55284,6894,12.5
Yukon,482443,56334,11.7
Manitoba,647797,71141,11
Ontario,1076395,114632,10.6
Nunavut,2093190,211299,10.1
Quebec,1512418,151554,10
Saskatchewan,651036,56115,8.6
Newfoundland and Labrador,405212,28110,6.9
New Brunswick,72908,3386,4.6
Prince Edward Island,5660,202,3.6
